# Created by: riboviz
# Date: 2023-04-05 11:07:59
# File: /exports/csce/eddie/biology/groups/wallace_rna/riboviz-david/riboviz/riboviz/rscripts/generate_stats_figs.R
# Version: commit bb25145b6ec95e37fe5129429ddf94067d6b99f6 date 2023-03-09 14:39:35 GMT
Pos	Counts	End
-24	0	5'
-23	0	5'
-22	0	5'
-21	19	5'
-20	9	5'
-19	4	5'
-18	0	5'
-17	1	5'
-16	0	5'
-15	0	5'
-14	0	5'
-13	0	5'
-12	2	5'
-11	2	5'
-10	0	5'
-9	0	5'
-8	1	5'
-7	2	5'
-6	1	5'
-5	3	5'
-4	0	5'
-3	0	5'
-2	3	5'
-1	1	5'
0	1	5'
1	1	5'
2	0	5'
3	0	5'
4	3	5'
5	0	5'
6	0	5'
7	0	5'
8	0	5'
9	0	5'
10	2	5'
11	0	5'
12	0	5'
13	0	5'
14	0	5'
15	0	5'
16	3	5'
17	2	5'
18	3	5'
19	4	5'
20	1	5'
21	0	5'
22	0	5'
23	0	5'
24	0	5'
25	1	5'
26	1	5'
27	0	5'
28	1	5'
29	0	5'
30	0	5'
31	1	5'
32	0	5'
33	1	5'
34	1	5'
35	1	5'
36	1	5'
37	1	5'
38	0	5'
39	0	5'
40	2	5'
41	0	5'
42	0	5'
43	2	5'
44	0	5'
45	0	5'
46	1	5'
47	1	5'
48	0	5'
49	0	5'
50	0	5'
-49	0	3'
-48	0	3'
-47	1	3'
-46	0	3'
-45	0	3'
-44	1	3'
-43	1	3'
-42	0	3'
-41	0	3'
-40	0	3'
-39	0	3'
-38	0	3'
-37	0	3'
-36	1	3'
-35	3	3'
-34	0	3'
-33	0	3'
-32	0	3'
-31	0	3'
-30	0	3'
-29	0	3'
-28	0	3'
-27	0	3'
-26	0	3'
-25	0	3'
-24	0	3'
-23	0	3'
-22	0	3'
-21	0	3'
-20	0	3'
-19	0	3'
-18	0	3'
-17	9	3'
-16	1	3'
-15	0	3'
-14	1	3'
-13	0	3'
-12	0	3'
-11	0	3'
-10	0	3'
-9	0	3'
-8	0	3'
-7	0	3'
-6	0	3'
-5	0	3'
-4	0	3'
-3	0	3'
-2	0	3'
-1	0	3'
0	0	3'
1	0	3'
2	0	3'
3	0	3'
4	1	3'
5	0	3'
6	0	3'
7	0	3'
8	0	3'
9	0	3'
10	0	3'
11	0	3'
12	0	3'
13	0	3'
14	0	3'
15	0	3'
16	0	3'
17	0	3'
18	0	3'
19	0	3'
20	0	3'
21	0	3'
22	0	3'
23	0	3'
24	0	3'
25	0	3'
