# Created by: riboviz
# Date: 2023-04-05 12:40:38
# File: /exports/csce/eddie/biology/groups/wallace_rna/riboviz-david/riboviz/riboviz/rscripts/generate_stats_figs.R
# Version: commit bb25145b6ec95e37fe5129429ddf94067d6b99f6 date 2023-03-09 14:39:35 GMT
ORF	readcount	rpb	tpm
augustus_masked-SAKL0A-processed-gene-0.10	1	0.000744601638123604	584.94728229517
augustus_masked-SAKL0A-processed-gene-0.11	0	0	0
augustus_masked-SAKL0A-processed-gene-0.12	0	0	0
augustus_masked-SAKL0A-processed-gene-0.14	0	0	0
augustus_masked-SAKL0A-processed-gene-0.15	0	0	0
augustus_masked-SAKL0A-processed-gene-0.16	0	0	0
augustus_masked-SAKL0A-processed-gene-0.17	0	0	0
augustus_masked-SAKL0A-processed-gene-0.18	0	0	0
augustus_masked-SAKL0A-processed-gene-0.19	0	0	0
augustus_masked-SAKL0A-processed-gene-0.20	0	0	0
augustus_masked-SAKL0A-processed-gene-0.21	0	0	0
augustus_masked-SAKL0A-processed-gene-0.22	1	0.000720461095100865	565.982853114131
augustus_masked-SAKL0A-processed-gene-0.25	0	0	0
augustus_masked-SAKL0A-processed-gene-0.26	1	0.000131095962244363	102.986916639016
augustus_masked-SAKL0A-processed-gene-0.27	0	0	0
augustus_masked-SAKL0A-processed-gene-0.28	0	0	0
augustus_masked-SAKL0A-processed-gene-0.29	0	0	0
augustus_masked-SAKL0A-processed-gene-0.30	0	0	0
augustus_masked-SAKL0A-processed-gene-0.31	1	0.000510725229826353	401.217671155472
augustus_masked-SAKL0A-processed-gene-0.32	0	0	0
augustus_masked-SAKL0A-processed-gene-0.33	0	0	0
augustus_masked-SAKL0A-processed-gene-0.34	0	0	0
augustus_masked-SAKL0A-processed-gene-0.36	0	0	0
augustus_masked-SAKL0A-processed-gene-0.37	0	0	0
augustus_masked-SAKL0A-processed-gene-0.38	0	0	0
augustus_masked-SAKL0A-processed-gene-0.7	0	0	0
augustus_masked-SAKL0A-processed-gene-0.8	0	0	0
augustus_masked-SAKL0A-processed-gene-1.10	0	0	0
augustus_masked-SAKL0A-processed-gene-1.11	0	0	0
augustus_masked-SAKL0A-processed-gene-1.12	0	0	0
augustus_masked-SAKL0A-processed-gene-1.13	0	0	0
augustus_masked-SAKL0A-processed-gene-1.14	0	0	0
augustus_masked-SAKL0A-processed-gene-1.15	0	0	0
augustus_masked-SAKL0A-processed-gene-1.17	0	0	0
augustus_masked-SAKL0A-processed-gene-1.18	0	0	0
augustus_masked-SAKL0A-processed-gene-1.19	0	0	0
augustus_masked-SAKL0A-processed-gene-1.21	0	0	0
augustus_masked-SAKL0A-processed-gene-1.22	0	0	0
augustus_masked-SAKL0A-processed-gene-1.23	0	0	0
augustus_masked-SAKL0A-processed-gene-1.24	0	0	0
augustus_masked-SAKL0A-processed-gene-1.25	0	0	0
augustus_masked-SAKL0A-processed-gene-1.26	0	0	0
augustus_masked-SAKL0A-processed-gene-1.27	1	0.00176678445229682	1387.95795074631
augustus_masked-SAKL0A-processed-gene-1.28	0	0	0
augustus_masked-SAKL0A-processed-gene-1.29	1	0.00014830194275545	116.50366307614
augustus_masked-SAKL0A-processed-gene-1.30	0	0	0
augustus_masked-SAKL0A-processed-gene-1.31	0	0	0
augustus_masked-SAKL0A-processed-gene-1.33	0	0	0
augustus_masked-SAKL0A-processed-gene-1.34	0	0	0
augustus_masked-SAKL0A-processed-gene-1.35	0	0	0
augustus_masked-SAKL0A-processed-gene-1.36	1	0.000595592614651578	467.888147779877
augustus_masked-SAKL0A-processed-gene-1.37	0	0	0
augustus_masked-SAKL0A-processed-gene-1.38	0	0	0
augustus_masked-SAKL0A-processed-gene-1.39	0	0	0
augustus_masked-SAKL0A-processed-gene-1.4	1	0.000562429696287964	441.835883083472
augustus_masked-SAKL0A-processed-gene-1.40	0	0	0
augustus_masked-SAKL0A-processed-gene-1.42	0	0	0
augustus_masked-SAKL0A-processed-gene-1.43	0	0	0
augustus_masked-SAKL0A-processed-gene-1.44	1	0.000632911392405063	497.205189950895
augustus_masked-SAKL0A-processed-gene-1.48	0	0	0
augustus_masked-SAKL0A-processed-gene-1.49	0	0	0
augustus_masked-SAKL0A-processed-gene-1.5	0	0	0
augustus_masked-SAKL0A-processed-gene-1.50	0	0	0
augustus_masked-SAKL0A-processed-gene-1.51	0	0	0
augustus_masked-SAKL0A-processed-gene-1.6	0	0	0
augustus_masked-SAKL0A-processed-gene-1.7	0	0	0
augustus_masked-SAKL0A-processed-gene-1.8	1	0.00185528756957328	1457.48460134029
augustus_masked-SAKL0A-processed-gene-1.9	0	0	0
